Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Objective,Objective,Objective,Objective,Category,Category,Category,Category,Category,Category,Category,Category,Category,Category,Category
Y-Date,Y-NumMovie,Y-NumFan,Y-MaxPlay,Y-Instagram,Y-Twitter,Y-TikTok,Y-Frequency,Y-TotalPlay,M-Length,M-Date,M-NumPlay,M-HighEval,M-LowEval,M-Comments,M-HashTags,M-Colab,Y-SubChannel,Y-Member,Y-Office,Y-Gender,Y-NumPerson,Y-Professional,Y-Name,M-name,M-URL
42850,438,434000,1619897,601000,413279,441100,122.5,68836957,613,43349,807040,10000,244,634,0,1,0,0,1,1,1,0,佐藤ノア,みっき～さんにメイクしてもらいました。ONE-SHOT,https://www.youtube.com/watch?v=wvX-1Z9aVe8&t=187s
43371,105,819000,5726297,987000,955248,660000,49.07,108010130,481,43895,959497,14000,403,896,3,0,0,0,1,1,1,0,古川優香,前髪のコンディション大事すぎ,https://www.youtube.com/watch?v=B7Z78X-lo1c
41450,93,1870000,14400303,718000,547142,1200000,12.7,317159642,487,43780,3625900,59000,1833,3936,0,0,1,0,0,1,1,0,まあたそ,【プチプラ】秋冬コスメを真面目に全力レビューしながらフルメイクしたら爆盛れした！！！,https://www.youtube.com/watch?v=mdj5zPZnodY
42082,752,833000,3589322,124000,90248,119200,132.5,261732206,427,43022,3593411,41000,1856,1690,0,1,0,0,0,1,1,0,マリリン,岡山が産んだ奇跡のブサイク！まあたそにハーフメイクした結果…l アイプチせず一重からデカ目メイク【CHANGE-MAKEUP BY MARILYN #05】,https://www.youtube.com/watch?v=oNn3QKV_WqM
43907,65,840000,3225287,2710000,627056,5000,96.8,63984058,758,43943,3260914,67000,1260,3343,2,0,0,0,1,1,1,1,仲里依紗,ふっつーのメイク動画???????????,https://www.youtube.com/watch?v=LdFTS6anfSg&t=597s
43652,98,278000,2722510,1100000,1265595,42800,71.5,33374453,2016,43917,2759017,61000,1103,3655,0,1,0,0,1,0,1,1,りゅうちぇる,夫婦でお互いにメイクしてみたよ?????????,https://www.youtube.com/watch?v=Dras6M2x8rc
42440,184,906000,6061071,584000,1039357,803900,39.0,173769705,840,43824,1927503,33000,741,2677,0,1,1,0,0,0,1,0,テオくんホーム,【サンタさんはいるよ】総額100万円のクリスマスプレゼントを用意しました！！！,https://www.youtube.com/watch?v=Nlw_z2RDqqM
42982,245,852000,6460675,96000,69983,87200,76.4,256376897,712,43935,2067163,34000,508,1641,1,0,0,0,1,1,3,0,ヘラヘラ三銃士,【あつ森】バレずに島荒らしドッキリ,https://www.youtube.com/watch?v=yii3nZH89Bw
41145,2226,6530000,36847824,407000,1267948,5000,270.0,10689065137,361,42616,10150974,95000,4281,9196,0,0,1,0,1,0,7,0,フィッシャーず,シルクと元彼女喋らせると喧嘩になります。,https://www.youtube.com/watch?v=SXLT4-3cYdM
42609,255,1060000,12592528,499000,435792,338300,60.3,228926384,231,44063,5399791,160000,2288,11213,2,1,1,0,0,1,1,0,かす,【踊ってみた】ハッピーウェディング前ソング（かすてらver.）,https://www.youtube.com/watch?v=2da4ugvYPyI
