Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Objective,Objective,Objective,Objective,Category,Category,Category,Category,Category,Category,Category,Category,Category,Category,Category
Y-Date,Y-NumMovie,Y-NumFan,Y-MaxPlay,Y-Instagram,Y-Twitter,Y-TikTok,Y-Frequency,Y-TotalPlay,M-Length,M-Date,M-NumPlay,M-HighEval,M-LowEval,M-Comments,M-HashTags,M-Colab,Y-SubChannel,Y-Member,Y-Office,Y-Gender,Y-NumPerson,Y-Professional,Y-Name,M-name,M-URL
43990,22,364000,1318490,46000,598848,5000,49.2,6162975,750,44196,104129,3358,33,196,3,0,0,0,1,0,1,1,神木隆之介,神木、Twitterでの質問に答えます！【前半戦】,https://www.youtube.com/watch?v=-30wD1C5hxQ
42672,189,756000,3719781,490000,372307,5000,46.5,122528841,759,44017,1347423,31000,889,1184,0,0,0,0,1,1,1,0,ゆうこすモテチャンネル,【大学デビュー】垢抜ける為にした４つの事語ります?,https://www.youtube.com/watch?v=aqCKxB-nga8&t=3s
39674,547,3980000,26940300,106000,458513,142500,44.4,1411590033,1000,44122,3180206,38000,1583,4059,0,0,1,0,1,0,1,0,気まぐれクック,10000尾に一匹。とんでもない『天然のサーモン』を買ってしまいました。,https://www.youtube.com/watch?v=u03_oj5z3wo
41366,53,592000,6133040,12000,150668,235400,6.9,65255733,33,44174,1154500,37000,325,1272,1,0,0,0,1,0,1,0,わっきゃい,日本語が適当すぎて不安になる海外エアラインの機内アナウンス,https://www.youtube.com/watch?v=SRYJBF_S7h0
43864,103,418000,5444350,743000,1122889,67300,130.5,58559513,1304,44113,685002,11000,142,913,3,1,0,0,1,0,1,1,藤森慎吾,ガンバレルーヤに感謝のお肉！！ウルフギャング【Uber Eats】,https://www.youtube.com/watch?v=fVzMR2uqqVY
42335,497,2370000,16313351,5000,10000,5000,99.8,1140433134,810,43881,1051914,21000,802,1382,0,0,1,0,0,2,2,0,しばなん,"ツボが浅すぎる嫁を""笑わせなければ""賞金１００万！？逆イロモネアにしばゆー挑戦www",https://www.youtube.com/watch?v=4FWRkHb4swM
43161,631,515000,1956856,5000,41695,28300,232.1,210967777,399,1958083,43913,65000,419,6438,0,1,1,0,1,0,3,0,ノンラビ,卒業生へ、卒業式が出来なかった人へ。【スカイピース】【EXIT】【桐崎栄二】【まあたそ】【ジュキヤ】,https://www.youtube.com/watch?v=cFilcrm39dc
44111,24,127000,1368196,983000,2090483,5000,213.6,7204243,1059,44141,1549179,28000,529,1379,3,0,0,0,1,1,1,1,友チューブ,【涙サプライズ】ファンの方同士の結婚式に黙って凸ってきたよ♪【感動ドッキリ】,https://www.youtube.com/watch?v=tgqG2gwFkBI
42664,526,641000,1779097,253000,186003,227900,128.9,153076887,172,44077,530002,15000,209,1071,0,1,1,0,1,1,1,0,きぬチャンネル,【踊ってみた】Booo! ? 轟ちゃん せりしゅん チハヤくん きぬ ?,https://www.youtube.com/watch?v=E0Lp-7bKkwk
42564,1469,3110000,19946093,5000,769880,346600,337.4,2150531485,241,43795,9518025,200000,1442,11631,0,1,1,1,0,0,2,0,スカイピース,テオくんの誕生日ラップのライブバージョンwwwwwwww,https://www.youtube.com/watch?v=A0OrOYhKx4U
42714,617,444000,3624235,42000,88383,31300,156.6,201769110,2119,43536,3700164,39000,2579,5180,0,0,0,0,1,1,1,0,轟ちゃん,顔が1.5倍に腫れた壮絶なダウンタイム全部見せます。【顎骨切り・埋没抜去】,https://www.youtube.com/watch?v=vadHAw3Ynzo
43320,79,175000,562889,249000,84285,76900,34.6,10332775,598,43692,563917,11000,280,927,0,0,0,0,0,1,1,0,美好くん,【食べ歩き】鎌倉＆江ノ島 ひとり旅！,https://www.youtube.com/watch?v=QuG3xwUjBH4
43509,385,1090000,9664120,39000,62627,27100,218.8,233231779,337,44196,407508,8737,147,463,3,0,1,0,1,1,1,0,はらみちゃん,【嵐ありがとう】名古屋ストリートピアノで「即興嵐メドレー」弾いてみたらヤバいことに...??【Happiness/A?RA?SHI/OneLove】,https://www.youtube.com/watch?v=iBRsh86IfkA
43652,98,278000,2722510,1100000,1265595,42800,71.5,33374453,2016,43917,2759017,61000,1103,3655,0,1,0,0,1,0,1,1,りゅうちぇる,夫婦でお互いにメイクしてみたよ?????????,https://www.youtube.com/watch?v=Dras6M2x8rc
43527,341,881000,5098649,5000,10000,1100000,198.8,198275691,523,43587,2532651,34000,846,1575,3,0,1,0,1,2,2,0,なこなこチャンネル,【カップル】私たち実は運命的な出会いだったんです…,https://www.youtube.com/watch?v=HNuiSpu2Rno
41699,2201,2840000,6644311,414000,1516464,5000,326.3,2491743648,824,43758,3554628,74000,762,8992,0,0,0,0,0,0,1,0,きよ,【実況】青鬼が10倍速で追いかけてくる『 超高速青鬼 』#1,https://www.youtube.com/watch?v=YjZCIqCNvqY
43819,109,751000,5285002,1230000,917378,291700,116.3,35774325,1714,44163,888474,16000,569,753,3,1,0,0,1,0,1,1,ガクト,GACKT VS DaiGo アーティストvsメンタリストのマジババ抜き！,https://www.youtube.com/watch?v=JygVfqYqs0k
42085,310,1890000,13858578,8824,449048,5000,54.7,643099957,704,44215,689685,15000,476,643,0,0,1,0,0,0,4,0,禁断ボーイズ,韓国メイクの男子にBTSのDynamiteいきなり流したら踊るのか？in新大久保,https://www.youtube.com/watch?v=AqDRFn7gsjU
43279,622,522000,8128377,29000,52785,5000,259.7,250929048,387,44201,214822,7361,48,644,3,0,1,0,0,3,1,0,ねこべや。,透明なキャットウォークに戸惑う猫！,https://www.youtube.com/watch?v=ffNrfQUhhzg
43649,83,658000,2674413,637000,284454,2000000,59.1,55853191,664,43961,913169,25000,507,2362,0,0,0,0,1,1,1,0,なえなの,最新の毎日メイク徹底解説！2020春?,https://www.youtube.com/watch?v=bDo_se2DU2g
43159,343,468000,3263756,250000,27603,2800000,124.9,119836025,759,43915,1580405,19000,1682,2421,3,0,0,0,1,1,1,0,Hinata,【初自宅ルーティン】朝起きてから出かけるまで…,https://www.youtube.com/watch?v=Q80IcQCpFio
42630,205,1530000,6373677,5000,132751,5000,49.1,362938218,2401,44210,1383145,17000,1145,2797,0,0,0,0,1,0,1,0,谷やん,【8㎏】海老が辛くて甘くて美味しいです(語彙力),https://www.youtube.com/watch?v=3XKTqO2QHdk
43635,242,472000,2336858,68000,84835,5000,170.5,100965046,369,43803,946490,13000,311,1687,0,0,0,0,0,0,1,0,パーカー／大学生の日常,一人暮らし大学生のリアルな休日ルーティン【日常vlog】,https://www.youtube.com/watch?v=o1gU-Fjqw4Y
43563,27,165000,1321292,316000,160607,275500,16.4,7069937,393,44189,270334,7982,78,406,3,0,0,0,1,0,1,0,じんじん,52歳のお母さんと質問たくさん答えていく??,https://www.youtube.com/watch?v=ZRSAylDhvM0
43620,28,395000,2914455,500000,211114,325200,18.9,17740737,806,44214,420032,13000,295,1037,2,0,0,0,1,1,1,0,タナカガ,皆からのお悩み大解決スペシャル,https://www.youtube.com/watch?v=yBl5dWI3i6g
42440,184,906000,6061071,584000,1039357,803900,39,173769705,840,43824,1927503,33000,741,2677,0,1,1,0,0,0,1,0,テオくんホーム,【サンタさんはいるよ】総額100万円のクリスマスプレゼントを用意しました！！！,https://www.youtube.com/watch?v=Nlw_z2RDqqM
43496,53,674000,3563353,3630000,2715134,737600,29,39406640,916,43664,2612913,60000,1866,5768,0,0,0,0,1,1,1,1,藤田にこる,[初公開]メイク部屋全部見せます。,https://www.youtube.com/watch?v=knfqofmzspA
42899,64,649000,7275370,453000,537664,288300,18.6,57013146,248,44108,1378426,39000,380,2683,0,1,0,0,1,1,1,0,小豆,【@小豆×いりぽん】恋をしよう / Honeyworks 踊ってみた dance,https://www.youtube.com/watch?v=egVQyr2HbBI
42464,1175,2230000,12652368,179000,241397,296000,253,1221457454,556,43326,6314118,83000,9299,5908,3,0,1,0,1,3,2,0,ヴァンゆん,アポなしでいきなり相方の家に突撃訪問したら寝室に女が…！？,https://www.youtube.com/watch?v=VVuSvTwufUE
43993,65,732000,3293675,124000,767225,5000,147.3,46238934,952,44116,1457444,34000,682,1765,2,0,0,0,1,0,1,1,児島だよ,久々にコストコ行ったら爆買いしちゃった児嶋だよ！,https://www.youtube.com/watch?v=E6AR7lZDKiY
40897,854,761000,8282495,134000,191968,305500,95.7,409085488,686,43603,3207478,33000,1001,4867,3,1,1,0,1,1,1,0,えっちゃんねる,【最新】女性トップYouTuber達に聞いた本当に可愛い&イケメンのYouTuberはこの人だ！【運動会裏側】,https://www.youtube.com/watch?v=KIttk7__0mk
42372,497,1730000,8267068,5000,196653,473200,101.7,769269454,383,42952,7763789,66000,6014,4095,0,0,1,0,1,2,2,0,えむれな,【モニタリング】彼女が突然タトゥーを入れて来たら彼氏はどうなる？【ふくれな】【M君】,https://www.youtube.com/watch?v=Os5uJisAc9o
41145,2226,6530000,36847824,407000,1267948,5000,270,10689065137,483,42869,3091886,200000,9150,19276,0,0,1,0,1,0,7,0,フィッシャーず,【大流行】イヤホンガンガン伝言ゲームを全員でやったら大爆笑www,https://www.youtube.com/watch?v=911roRxqA5c
41414,1966,2410000,11788689,5000,10000,28200,261.9,2027858458,1198,44065,660072,9288,423,633,0,0,1,0,1,0,2,0,おるたなチャンネル,【大食い】24時間で40000kcal食べ切るチャレンジが過酷すぎた！！,https://www.youtube.com/watch?v=dAipjzR7E5Y
40738,2110,1560000,27575347,142000,10000,7076,225.4,1025956129,737,44057,909326,7187,574,207,0,0,1,0,1,0,1,0,釣りよかでしょう。,釣りよかハウスの裏の水路で怪魚が釣れた！！,https://www.youtube.com/watch?v=VUwRj77YHpU
43340,712,2140000,8761803,333000,240238,175300,319.2,831294290,2297,43644,8776845,150000,4989,10433,3,1,1,0,1,2,1,1,かじさっく,【登録者90万人記念】キングコング西野さんが部屋に来てくれました,https://www.youtube.com/watch?v=svsAhn7PdHU&t=77s
42522,1065,1240000,6837736,259000,338980,293200,238.1,445379050,837,44053,403491,10000,462,535,0,1,1,0,1,1,1,0,ゆきりぬ,UUUMに入社してマネージャーになります。,https://www.youtube.com/watch?v=wvOew1zL54c&t=16s
41970,679,1680000,15070692,207000,10000,5000,113.4,839969525,372,42887,15084371,210000,7421,12227,0,0,1,0,1,0,2,0,はなおでんがん,東大生の店員に理系風に注文したら、賢すぎて返り討ちにされました。東大理三恐るべし、、、,https://www.youtube.com/watch?v=AMGLJBFkNO4
42698,295,568000,5719996,206000,470571,302700,73.9,123383348,1290,44189,606842,11000,254,277,3,1,1,0,1,1,1,0,ほのか,【女子会】付き合いたいユーチューバー難しすぎたwwww【かすたそ】,https://www.youtube.com/watch?v=qIU4xHiAL3c
